ID,Category,Title,Objective,When to use,Inputs,Prompt,Output format,Tip,Pairs with
LEAD-03,Leads & Inquiries,Follow up an inquiry that went quiet,"Re-open a conversation with a lead who stopped replying, without pressure.",3–7 days after your last message with no response.,[LAST MESSAGE SUMMARY] | [DAYS SINCE] | [BOOKING LINK],"A potential client stopped replying [DAYS SINCE] days ago. Our last exchange: """"""[LAST MESSAGE SUMMARY]"""""". Write two alternative follow-up emails in my voice [VOICE PROFILE], each under 90 words: Version A adds something useful (a relevant tip, example or resource related to their project, without inventing facts about them); Version B is a simple, friendly check-in that makes it easy to say ""not now"". Neither should guilt-trip or imply urgency that doesn't exist. Include my booking link [BOOKING LINK] once.",Two labeled email drafts with subject lines.,"Send at most two follow-ups, then stop and mark the lead ""cold"" in your tracker.",LEAD-01
LEAD-04,Leads & Inquiries,Referral request to a happy client or peer,"Ask for referrals in a specific, easy-to-act-on way.",After a successful project or a positive comment from a client or peer.,"[RELATIONSHIP]: client or peer, and context | [IDEAL REFERRAL]: who you want to be introduced to","Write a short message asking [RELATIONSHIP] for referrals. Be specific about who I'm looking for: [IDEAL REFERRAL]. Make it easy: include a two-sentence blurb about me that they can forward as-is, and say it's completely fine if nobody comes to mind. Keep it under 120 words, warm and not salesy, in my voice [VOICE PROFILE]. Don't offer a referral fee unless I've specified one here: [REFERRAL INCENTIVE OR ""NONE""].",One message plus a separate forwardable blurb (2 sentences).,"Specific asks (""a physio clinic owner planning a new website"") get more introductions than ""anyone who needs help"".",RET-05
LEAD-05,Leads & Inquiries,Personalized cold outreach (non-spammy),"Write a short, relevant first message to a specific prospect you've researched.","Occasional, targeted outreach to businesses you can genuinely help, not mass email.",[PROSPECT RESEARCH]: public info you gathered | [MY SERVICE] | [OBSERVATION]: one specific thing you noticed,"Draft a first-contact email to a prospect. Public information I gathered: """"""[PROSPECT RESEARCH]"""""". My service: [MY SERVICE]. One specific observation: [OBSERVATION]. Requirements: under 110 words; lead with the observation, framed helpfully rather than as criticism; one sentence on how I've helped similar businesses, described generally with no invented results or client names; a low-friction ask (e.g., ""Would a 3-point audit be useful?""); a line that makes it easy to say no. No flattery clichés, no fake familiarity, no false urgency. Also give 3 subject line options under 7 words.",One email plus three subject lines.,"Follow the anti-spam and consent rules that apply where you and the recipient are, and always honor opt-outs.",LEAD-02
LEAD-06,Leads & Inquiries,Polite decline (with a referral),Turn down a lead gracefully and protect your reputation.,"When the budget, timing or fit is wrong.","[REASON]: budget, timing, scope or fit | [ALTERNATIVE]: who or what might help them instead (optional)","Write a kind, brief email declining a potential project. Reason (for me; share only what's appropriate): [REASON]. If I've provided an alternative, recommend it: [ALTERNATIVE]. Leave the door open for future work if appropriate: [YES/NO]. Under 100 words, no over-apologizing, no vague excuses, in my voice [VOICE PROFILE].",A single short email.,"A good decline often generates referrals later, because people remember being treated well.",LEAD-02
LEAD-07,Leads & Inquiries,Inquiry form questions,Design the questions on your website's inquiry form so leads arrive pre-qualified.,Setting up or improving your contact/inquiry form.,[SERVICES] | [MUST-KNOW INFO]: what you need to qualify a lead,"I offer [SERVICES]. Design an inquiry form with no more than 7 fields that collects what I need to qualify a lead: [MUST-KNOW INFO]. For each field give: the label, field type (short text, dropdown, multiple choice, date, long text), options if applicable, whether it's required, and why it helps. Include a budget question that feels respectful (ranges, including ""Not sure yet""). Finish with the confirmation message the person sees after submitting (under 60 words, telling them when to expect a reply).",A table of fields plus the confirmation message.,Fewer required fields usually means more submissions. Only require what you truly need.,LEAD-01
LEAD-08,Leads & Inquiries,DM reply to a social media inquiry,Respond to a direct message and move the conversation somewhere you can manage it.,"When someone asks about your services in Instagram, LinkedIn or TikTok messages.",[DM TEXT] | [PLATFORM] | [BOOKING LINK or EMAIL],"Someone sent me this message on [PLATFORM]: """"""[DM TEXT]"""""". Write a short, friendly reply (under 60 words) that answers any quick question they asked (use [NEED INFO] if you don't know the answer), shows I read their message, and invites them to continue by email or my booking link [BOOKING LINK or EMAIL] so I can give them proper attention. Casual but professional; match the platform's tone.",One short DM reply.,Log the lead in your tracker as soon as they move to email.,LEAD-01
LEAD-09,Leads & Inquiries,"Waitlist or ""fully booked"" reply",Tell a good-fit lead you're booked up without losing them.,When you're at capacity but want the work later.,"[NEXT AVAILABLE START] | [OPTIONS]: waitlist, smaller interim option, referral","Write a reply to a good-fit potential client explaining that I'm fully booked until [NEXT AVAILABLE START]. Offer these options: [OPTIONS]. Explain the benefit of waiting in one honest sentence (e.g., focused attention), without implying scarcity that isn't real. Ask them to reply with their preferred option. Under 120 words, in my voice [VOICE PROFILE].",One email with a clear choice for the reader.,Add waitlisted leads to your tracker with a next-action date two weeks before your availability.,LEAD-01
LEAD-10,Leads & Inquiries,Lead source analysis,Understand which channels bring your best clients so you invest time wisely.,"Every quarter, using your tracker's Source and Stage columns.","[TRACKER EXPORT]: client, source, stage, value (redacted)","Here's an export of my leads and clients (redacted): """"""[TRACKER EXPORT]"""""". Summarize by source: number of leads, number that became clients, conversion rate, total and average project value. Then highlight: my best source by value, my best by conversion rate, and any source that takes effort but rarely converts. Suggest 2–3 practical adjustments for next quarter. Base everything strictly on the data; if the sample is too small to conclude anything, say so.","A summary table by source, then 3 highlights and 2–3 recommendations.","Small numbers can mislead, so treat the output as a prompt for reflection, not a verdict.",OPS-06
DISC-01,Discovery & Sales Calls,Pre-call questionnaire,Collect key information before a discovery call so the call is more useful.,Sent with the booking confirmation for discovery calls.,[SERVICE] | [CALL LENGTH],"Create a short pre-call questionnaire (5–7 questions) for people booking a [CALL LENGTH]-minute discovery call about [SERVICE]. Questions should uncover goals, current situation, constraints (timeline, budget range, decision-makers) and what success looks like, without feeling like homework. Mark each as required or optional. Add a one-sentence intro explaining why I ask.",An intro line plus a numbered question list with required/optional labels.,Most scheduling tools let you add these questions to the booking page.,DISC-02
DISC-02,Discovery & Sales Calls,Discovery call prep sheet,"Walk into a discovery call prepared, in 10 minutes.",Before any discovery or sales call.,[INQUIRY + ANY PUBLIC INFO ABOUT THEIR BUSINESS] | [SERVICES] | [LENGTH],"I have a discovery call with a potential client. Here is what I know (redacted): """"""[INQUIRY + ANY PUBLIC INFO ABOUT THEIR BUSINESS]"""""". My services: [SERVICES]. Create a one-page call prep sheet with: (1) a 2-sentence summary of what they seem to want; (2) 5 open questions to uncover goals, constraints and decision process; (3) 3 likely objections or risks and how I might address them; (4) what I need to learn to scope the project; (5) a proposed call agenda for [LENGTH] minutes. Flag any assumptions you're making.",A one-page sheet with five numbered sections.,"Print it or keep it beside your call window, and take notes directly under each question.",DISC-05
DISC-03,Discovery & Sales Calls,Discovery call agenda email,Set expectations before the call so it starts focused.,The day before a discovery call.,[CALL DATE/TIME] | [CALL LINK] | [AGENDA POINTS],"Write a brief email confirming our discovery call on [CALL DATE/TIME] ([CALL LINK]). Include a 3–4 point agenda based on [AGENDA POINTS], one thing they could think about beforehand, and a note that it's fine to reschedule if needed. Under 110 words, friendly and organized, in my voice [VOICE PROFILE].",One short confirmation email.,Many scheduling tools can send this automatically. Paste the result into your booking confirmation template.,DISC-02
DISC-04,Discovery & Sales Calls,Qualifying question bank for my niche,"Build a tailored list of questions that reveal fit, budget and urgency.",Once per service; revisit when you change niche.,[PROFESSION] | [TYPICAL CLIENT],"I'm a [PROFESSION] working with [TYPICAL CLIENT]. Write 15 discovery questions grouped under: Goals & success; Current situation; Constraints (timeline, budget, resources); Decision process; Past experience with similar providers. For each, add a one-line note on what a ""good fit"" answer versus a ""warning sign"" answer sounds like. Keep questions open-ended and non-salesy.","Grouped question list, each with good-fit / warning-sign notes.","Use 5–6 of these per call, not all 15.",DISC-02
DISC-05,Discovery & Sales Calls,Call notes → summary + next steps email,Send a clear follow-up the same day as a call.,Immediately after a discovery call.,[NOTES]: redacted notes or transcript | [VOICE PROFILE],"Here are my rough notes from a discovery call (redacted): """"""[NOTES]"""""". Using my voice profile [PASTE], write a follow-up email that: thanks them; summarizes their goals, constraints and timeline in 3–5 bullets using their words where possible; lists open questions; states the next step and date (e.g., ""I'll send a proposal by [DATE]""); and stays under 200 words. After the email, separately list anything in my notes that is ambiguous or that I should clarify before writing a proposal.","One email, then a separate list of ambiguities to clarify.","This summary becomes the input for PROP-01, so write it carefully.",PROP-01
DISC-06,Discovery & Sales Calls,Objection response helper,"Prepare calm, honest responses to common objections.","Before calls, or after an objection you handled poorly.","[OBJECTIONS]: e.g., price, timing, 'we'll do it ourselves' | [SERVICE]","For my [SERVICE], write responses to these objections: [OBJECTIONS]. For each: (1) what the objection often really means; (2) a clarifying question to ask first; (3) a short, honest response that respects their decision; (4) when it's better to agree it's not a fit. No pressure tactics, false scarcity or manipulation.",One block per objection with four labeled parts.,The clarifying question is usually more valuable than the response.,DISC-02
DISC-07,Discovery & Sales Calls,Scope sketch from discovery notes,Turn a messy discovery conversation into a draft scope you can price.,Between the discovery call and writing the proposal.,[DISCOVERY SUMMARY] | [MY SERVICES AND PROCESS],"Based on this discovery summary (redacted) """"""[DISCOVERY SUMMARY]"""""" and my standard process """"""[MY SERVICES AND PROCESS]"""""", sketch a draft scope: phases, deliverables per phase, client inputs required, rough effort per phase (Small / Medium / Large), and risks that could expand scope. List the questions I must answer before pricing. Don't suggest prices.","A phase table (Phase, Deliverables, Client inputs, Effort, Risks) plus a question list.","Price from your own effort estimates and rates, never from AI suggestions.","PROP-01, PROP-06"
DISC-08,Discovery & Sales Calls,Post-call self-review,Improve your discovery calls over time.,"Right after a call, while it's fresh.","[CALL NOTES] | [OUTCOME]: booked, pending, lost","Act as a supportive sales coach. Here are my notes from a discovery call (redacted) and the outcome so far: """"""[CALL NOTES]"""""" / [OUTCOME]. Assess: how well I uncovered goals, constraints and decision process; whether I talked too much (estimate from the notes); what I could have asked; and one thing to do differently next time. Be specific and kind, and base your comments on the notes rather than generic advice.","Four short sections, ending with one clear action for next time.","Keep the ""one thing"" in your Prompt Log notes and track whether you apply it.",DISC-02
PROP-01,Proposals & Pricing,Proposal draft from discovery notes,"Draft a complete, specific proposal from your call summary.","After the discovery follow-up (DISC-05), once you've set your price.",[BUSINESS BRIEF] and [VOICE PROFILE] | [SUMMARY]: discovery call summary (redacted) | [PRICE / OPTIONS I'LL PROVIDE],"Here is my business brief [PASTE], my voice profile [PASTE], and my discovery call summary (redacted): """"""[SUMMARY]"""""". Draft a proposal using this structure: 1) Your situation (3–4 sentences using the client's words), 2) Outcomes (3–5 bullets), 3) Scope (numbered deliverables), 4) Not included (5–8 bullets), 5) Timeline (milestones with client dependencies), 6) Investment: [PRICE / OPTIONS I'LL PROVIDE]. Use exactly my prices and payment terms and don't invent numbers. 7) Next step. Keep it under 700 words, plain language, no buzzwords. Mark anything you had to assume with [CHECK].","A 7-section proposal document, under 700 words, with [CHECK] markers.",Delete any number you didn't provide. Read it aloud once before sending.,"PROP-06, PROP-04, DISC-05"
PROP-02,Proposals & Pricing,Three-option package builder,"Structure good / better / best options so clients choose how, not whether.",When a project could reasonably be delivered at different depths.,[SCOPE SKETCH] | [YOUR PRICES FOR EACH OPTION],"Using this scope sketch """"""[SCOPE SKETCH]"""""", structure three options (Essential, Recommended, Complete). For each: who it suits, what's included, what's excluded, timeline, and the price I set: [YOUR PRICES FOR EACH OPTION]. Make the differences obvious in a comparison table. Explain in one sentence why ""Recommended"" is recommended, based on the client's stated goals only. Don't invent prices or features I didn't list.",A comparison table plus a short description of each option.,Keep options genuinely different. Artificial decoy options erode trust.,PROP-01
PROP-03,Proposals & Pricing,Pricing rationale explainer,Explain your price in terms of value and effort without sounding defensive.,"When a client asks ""why does it cost that much?""",[PRICE] | [WHAT'S INCLUDED] | [CLIENT GOALS],"A client asked why my quote is [PRICE]. What's included: """"""[WHAT'S INCLUDED]"""""". Their goals: """"""[CLIENT GOALS]"""""". Write a calm, confident reply (under 170 words) that: connects the price to the outcomes they want; briefly shows the work involved (phases, not hours, unless I say otherwise); offers a smaller alternative scope if that's appropriate: [SMALLER OPTION OR ""NONE""]. No discounting unless I specify one, no apologizing, no comparisons to named competitors.",One email reply.,"If price is the only concern, offering a reduced scope protects your rate better than a discount.","PROP-02, HARD-01"
PROP-04,Proposals & Pricing,Proposal follow-up sequence,Follow up on a sent proposal politely and consistently.,"Day 3, day 7 and day 14 after sending a proposal.",[PROJECT] | [DATE SENT] | [BOOKING LINK],"I sent a proposal for [PROJECT] on [DATE SENT]. Write three follow-up emails in my voice [VOICE PROFILE]: Day 3 (one or two sentences: any questions?); Day 7 (offer a 15-minute call to walk through options, link [BOOKING LINK]); Day 14 (a gracious close-the-loop message that assumes timing isn't right and leaves the door open). Each under 80 words. No guilt, no fake deadlines.",Three labeled emails with subject lines.,Put the dates in your tracker's next-action column the day you send the proposal.,PROP-01
PROP-05,Proposals & Pricing,Retainer proposal,Propose an ongoing monthly arrangement to an existing client.,When a client keeps coming back with similar requests.,"[HISTORY]: past projects and recurring requests | [RETAINER TERMS I'VE DECIDED]: price, hours or deliverables, notice period","Draft a short retainer proposal (under 300 words) for an existing client. Our history (redacted): """"""[HISTORY]"""""". Terms I've decided: """"""[RETAINER TERMS I'VE DECIDED]"""""". Include: why a retainer suits their pattern of requests; exactly what they get each month; what's excluded; how unused capacity is handled (per my terms); notice period; how to start. Position it as their convenience, not my revenue goal. Use only the terms I provided.",A short proposal with headed sections.,"Base the retainer on real past demand, which the history section should make visible.",PROP-01
PROP-06,Proposals & Pricing,Scope exclusions & assumptions list,Prevent scope creep by stating what's not included.,For every proposal; build a master list once per service.,[PROFESSION] | [DELIVERABLES],"I'm a [PROFESSION] and this project includes: [DELIVERABLES]. List 10 things clients commonly assume are included in this kind of project but often aren't (e.g., extra revision rounds, copywriting, stock photos, hosting, training, ongoing support). For each, write one plain-language line for a ""Not included"" section and, where useful, the add-on I could offer instead. Then list 5 assumptions about the client's responsibilities (content, feedback times, access) that I should state in the proposal.","Two lists, ""Not included"" (10 lines with optional add-ons) and ""Assumptions"" (5 lines).",Keep a master version per service and copy the relevant lines each time.,"PROP-01, DEL-07"
PROP-07,Proposals & Pricing,Timeline with client dependencies,Build a realistic timeline that makes the client's responsibilities visible.,In proposals and kickoff documents.,[START DATE] | [PHASES AND DURATIONS] | [CLIENT INPUTS NEEDED],"Create a project timeline starting [START DATE] from these phases and durations: """"""[PHASES AND DURATIONS]"""""". For each milestone, list what I deliver and what the client must provide, and by when (based on: """"""[CLIENT INPUTS NEEDED]""""""). Add a short note explaining that the timeline shifts if client inputs arrive late, phrased collaboratively. Use calendar dates, skip weekends, and flag any [HOLIDAYS OR BREAKS] I mention.","A table (Milestone, Date, I deliver, You provide by) plus a two-sentence note.",Double-check date arithmetic yourself; AI can miscount days.,"PROP-01, ONB-05"
PROP-08,Proposals & Pricing,Case study summary for proposals (from your notes),"Turn a past project into a short, truthful proof point.",When you want to reference relevant past work in a proposal.,"[PROJECT NOTES]: situation, what you did, result as the client described it | [PERMISSION STATUS]: named / anonymized","Turn these notes about a past project into a 90-word case study for proposals. Notes: """"""[PROJECT NOTES]"""""". Permission: [PERMISSION STATUS]. If anonymized, describe the client generically (e.g., ""a three-location dental practice""). Structure: situation, what I did, outcome. Only state outcomes that appear in my notes, and attribute any numbers to the client (""the client reported…""). Don't embellish.",A 90-word paragraph plus a one-line title.,Ask permission before naming clients or quoting their results.,RET-02
PROP-09,Proposals & Pricing,Price increase announcement,Tell existing clients about a rate change clearly and respectfully.,When you raise rates for retainers or repeat clients.,[OLD RATE] and [NEW RATE] | [EFFECTIVE DATE] | [REASON]: optional,"Write an email informing an existing client that my rate will change from [OLD RATE] to [NEW RATE] effective [EFFECTIVE DATE]. Give appropriate notice as stated in our agreement: [NOTICE TERMS]. Briefly mention [REASON] if provided, without over-justifying. Thank them for the relationship and make it easy to ask questions. Under 140 words, confident and warm.",One email.,Check your agreement's notice terms before sending.,HARD-01
PROP-10,Proposals & Pricing,Contract clause plain-language explainer,Help a client (and you) understand what a clause in your agreement means.,"When a client asks about a clause, or you want to summarize your terms in plain English.",[CLAUSE TEXT],"Explain this clause from my client agreement in plain language for a non-lawyer, in under 120 words: """"""[CLAUSE TEXT]"""""". Then list 2–3 questions a client might ask about it. Don't give legal advice or say whether the clause is enforceable. End with: ""This is a plain-language summary, not legal advice.""","A short explanation, a question list and the disclaimer line.",Have your agreement template reviewed by a qualified professional; this prompt only explains it.,ONB-02
PROP-11,Proposals & Pricing,Proposal self-review checklist,"Catch gaps, vague language and risky promises before sending.",As the last step before any proposal goes out.,[PROPOSAL TEXT],"Review this proposal as a skeptical client and as a careful business owner: """"""[PROPOSAL TEXT]"""""". List: (1) anything vague that could cause a dispute later; (2) promises or guarantees I may not want to make; (3) missing items (payment terms, revisions, timeline dependencies, exclusions, next step); (4) jargon to simplify; (5) the single biggest improvement. Quote the exact text for each issue.",Five numbered sections with quoted text and suggested fixes.,"Fix issues yourself instead of asking AI to rewrite everything, so your voice stays intact.",PROP-01
PROP-12,Proposals & Pricing,Estimate my effort before pricing,Estimate your time on a project so your price reflects real effort.,Before setting a fixed price.,[SCOPE] | [MY PAST TASK TIMES]: how long similar tasks took,"Help me estimate effort for this scope: """"""[SCOPE]"""""". Use my past task times as the baseline: """"""[MY PAST TASK TIMES]"""""". Break the work into tasks, estimate hours for each (low / likely / high), add time for communication, revisions and project management, and total them. Flag tasks where you had to guess because I gave no baseline. Don't convert hours into a price.","A task table (Task, Low, Likely, High, Basis) with totals and flagged guesses.","Multiply the likely total by your own rate, then sanity-check against the ""high"" total.","DISC-07, PROP-02"
ONB-01,Onboarding,Welcome email,Start the project with clear next steps and expectations.,As soon as a client says yes.,"[BUSINESS BRIEF] and [VOICE PROFILE] | [PROJECT, TIMELINE, LINKS]","Using my business brief and voice profile [PASTE], write a welcome email for a new client (redacted details: """"""[PROJECT, TIMELINE, LINKS]""""""). Include: a warm opening that references the project; a numbered ""what happens next"" list (agreement, deposit, questionnaire link, kickoff booking link); my communication norms from the brief; and a friendly close. Under 220 words. Use only the links and dates I provide. Use [NEED INFO] for anything missing.","One email with a numbered next-steps list, under 220 words.","Save the result as a template, since only the first line and links change per client.","ONB-03, SET-07"
ONB-02,Onboarding,Agreement summary email,"Send the agreement with a short, friendly summary of key terms.",When sending your contract for signature.,"[KEY TERMS]: scope, fee, payment schedule, revisions, cancellation | [SIGNING LINK]","Write a short email sending my client agreement for signature ([SIGNING LINK]). Summarize the key terms in 4–6 plain-language bullets based only on: """"""[KEY TERMS]"""""". Invite questions before they sign, and mention that work starts once the agreement and deposit are complete. Under 150 words. Don't add terms that aren't in my list.",One email with a bullet summary.,The summary helps clients read the agreement. It doesn't replace it.,PROP-10
ONB-03,Onboarding,Intake questionnaire builder,Collect everything you need from a new client in one form.,When setting up onboarding for each service type.,[PROFESSION] | [PROJECT TYPE],"I'm a [PROFESSION] starting a [PROJECT TYPE] for a client. Create an intake questionnaire of 10–15 questions grouped under: Goals & success measures; Audience/customers; Brand & preferences; Content & assets they'll provide; Access & logistics; Communication & approvals. For each question, note why I need it (one line) and mark it Required or Optional. Avoid questions I could answer myself from their website. End with a ""Anything else we should know?"" question.",Grouped questions with purpose notes and Required/Optional labels.,Build it in a form tool so answers land in a spreadsheet.,ONB-01
ONB-04,Onboarding,Client onboarding document,"Create a single ""everything you need to know"" document for new clients.",Once per service; share a copy with every new client.,[BUSINESS BRIEF] | [PROCESS STEPS] | [FAQ],"Create a client onboarding document (under 600 words) from my business brief """"""[BUSINESS BRIEF]"""""", my process """"""[PROCESS STEPS]"""""" and my FAQ """"""[FAQ]"""""". Sections: Welcome; How the project works (numbered phases); What I need from you and when; How we'll communicate; Feedback & approvals; Payments; Frequently asked questions; Who to contact. Friendly, scannable, second person (""you"").",A Markdown document with eight headed sections.,Export it as a PDF and link it in the welcome email.,"SET-06, SET-07"
