captured_date,platform,search_query,listing_title,price_usd_shown,rating_shown,review_count_shown_shop_level,shop,bestseller_badge,notes
2026-09-24,Etsy,small business planner spreadsheet,"Bookkeeping Spreadsheet Small Business Bookkeeping Google Sheets...",4.99,4.8,9k,ExclusiveHouse,no,
2026-09-24,Etsy,small business planner spreadsheet,"Ultimate Bookkeeping Google Sheets... for Freelancer",1.71,4.9,1.7k,BlushDesignTemplates,no,
2026-09-24,Etsy,small business planner spreadsheet,"Small Business Spreadsheet Bundle Product Tracker...",8.64,4.7,3.1k,TheProductivePlans,no,
2026-09-24,Etsy,small business planner spreadsheet,"Minimalist Editable Business Planner...",2.50,4.9,172,HFBDigitalCreations,no,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Transaction Coordinator Real Estate Transaction Tracker...",24.99,4.8,12.3k,ExclusiveDesignLab,yes,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Notion Freelancer Template: CRM, Client Tracker, Business Planner, Project Management",23.55,4.9,942,GraceAndGrow,yes,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Client Tracker Excel Small Business CRM Google Sheets... Invoice Tracker",18.71,4.8,604,inDeoDesignStudio,yes,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Client Lead Tracker Spreadsheet Google Sheets CRM Template for Freelancers",1.91,4.8,49,PlanLedger,no,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Client Tracker Google Sheets Excel CRM Client Manager Template",5.99,4.8,3.3k,HeyMorning,no,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Freelancer Tracker - freelancer task tracker...",3.00,4.8,727,TemplateMountain,yes,
2026-09-24,Etsy,freelance client tracker spreadsheet,"Client Tracker Google Sheet Template Freelance Tracker CRM...",2.63,4.7,287,EZSpreadsheets4Life,no,
2026-09-24,Etsy,budget spreadsheet,"Ultimate Annual Budget Spreadsheet Excel Google Sheets...",10.35,4.7,11.2k,PrioriDigitalStudio,no,100+ results for query
2026-09-24,Etsy,budget spreadsheet,"Biweekly Paycheck Budget Spreadsheet...",13.20,4.8,5.5k,JrenDigital,no,
2026-09-24,Etsy,budget spreadsheet,"Simple Budget Spreadsheet: Google Sheets Budgeting Planner",5.40,4.9,555,AbbyOrganizes,no,
2026-09-24,Etsy,budget spreadsheet,"Budget Planner Google Sheet Monthly Budget Spreadsheet...",0.99,4.8,12.3k,ExclusiveDesignLab,no,
2026-09-24,Etsy,budget spreadsheet,"ADHD Budget Planner, Safe to Spend Tracker...",8.98,4.5,10,TheSheetFlow,no,
2026-09-24,Etsy,budget spreadsheet,"Budget Planner Excel Google Sheets... Dark Mode",1.95,4.8,12.7k,TheWeeklyCrew,no,
2026-09-24,Etsy,budget spreadsheet,"Biweekly Budget Spreadsheet Monthly Budget Paycheck Budget...",9.59,4.8,3.3k,HeyMorning,yes,
2026-09-24,Etsy,budget spreadsheet,"ADHD Budget Planner App | Paycheck Budget...",11.92,4.8,36,TheLittleMachines,no,
2026-09-24,Etsy,resume template,"ATS Friendly Resume Template Word, Pages, Google Docs",7.95,4.9,5k,CoResume,no,
2026-09-24,Etsy,resume template,"Easy ATS Resume Template | Word, Google Docs and Pages",7.97,4.9,6.9k,GetLanded,no,
2026-09-24,Etsy,resume template,"Resume Template Canva with Cover Letter",4.85,4.8,3.3k,WinkyWin,yes,
2026-09-24,Etsy,resume template,"Professional & Modern Resume Template for Word",10.17,4.5,989,HiredDesignStudio,no,
2026-09-24,Etsy,social media content calendar template,"Social Media Content Planner Spreadsheet Monthly Content Calendar...",8.87,4.7,11.2k,PrioriDigitalStudio,no,
2026-09-24,Etsy,social media content calendar template,"Social Media Planner Spreadsheet Monthly Content Calendar...",3.99,4.8,12.3k,ExclusiveDesignLab,no,
2026-09-24,Etsy,social media content calendar template,"Notion Social Media Planner Template: Ultimate Content Creator System",25.91,4.9,942,GraceAndGrow,no,
2026-09-24,Etsy,social media content calendar template,"Social Media Content Calendar Google Sheets, Digital Content Planner",9.75,4.9,1.1k,PalmAndGraceDesigns,no,
2026-09-24,Etsy,client onboarding template freelancer,"Freelancer Client Onboarding Kit | Client Intake, Scope & Kickoff Templates",7.43,,,GBDigitalProductsCo,no,
2026-09-24,Etsy,client onboarding template freelancer,"Client Onboarding Bundle | Canva Template | New Client Welcome Packet...",37.00,4.9,1.4k,AmmaRoseDesigns,no,
2026-09-24,Etsy,client onboarding template freelancer,"Notion Template Client Portal for Coaches and Freelancers",2.91,4.9,273,GraceDigitalsCoPH,no,
2026-09-24,Etsy,client onboarding template freelancer,"Interactive Freelancer Client Onboarding Checklist Template (HTML and PDF)",5.00,4.8,542,DeeDigitalStudio,no,
2026-09-24,Etsy,client onboarding template freelancer,"Creative Business Hub Notion Template | Client Management...",97.00,5,33,shopmaradesignco,no,
2026-09-24,Gumroad,ai prompts (Discover),"(aggregate) 8,639 products; tags: chatgpt 1446, ai 1390, chatgpt prompts 1085, prompts 910, ai prompts 802; formats pdf 4407, zip 778, json 351",,,,,,
